category,number,subid,author,institution,city,country,title
Pelvic (Prostate and Gyn),1,77,Ola Mohamed,Mayo Clinic,"Rochester, MN",United States,MRI-Guided Percutaneous Cryoablation for Vaginal/Paravaginal Lesions - A Case Series
Pelvic (Prostate and Gyn),2,31,Setayesh Sotoudehnia Korani,Mayo Clinic,"Rochester, MN",United States,MR-Guided Percutaneous Cryoablation for Extrapelvic Endometriosis: Safety and Pain-Relief Outcomes in a Five-Patient Case Series
Pelvic (Prostate and Gyn),3,14,Ola Mohamed,Mayo Clinic,"Rochester, MN",United States,Locoregional Tumor Control of Prostate Cancer Bone Metastasis using MRI-Guided Cryoablation: A Retrospective Cohort Study
Pelvic (Prostate and Gyn),4,16,David Woodrum,Mayo Clinic,"Rochester, MN",United States,"MRI-Guided Salvage Cryoablation of Localized, Recurrent Prostate Cancer: 13-Year Prospective Study"
Pelvic (Prostate and Gyn),5,146,Pedro Moreira,Brigham and Women's Hospital,"Boston, MA",United States,AI-Assisted Quantification of Cryo-Injury in MRI-Guided Prostate Cryoablation Using Imaging-Derived Dose Metrics
Pelvic (Prostate and Gyn),6,126,Deborah Shinyanbola,Royal College of Surgeons Ireland,Dublin,Ireland,"Effect of Bead Presence, Composition, and Configuration on MRI and CT Artifact Characteristics"
Pelvic (Prostate and Gyn),7,125,Michael McKernan,Mayo Clinic,"Rochester, MN",United States,MRI-Guided Transperineal Prostate Biopsy in Patients Without Rectal Access: Technique and Feasibility
Pelvic (Prostate and Gyn),8,81,Carly McKenzie,Mayo Clinic,"Rochester, MN",United States,Imaging Sequences Used for Prostate Cryoablation and Biopsy Guidance
Pelvic (Prostate and Gyn),9,93,Daniel Adamo,Mayo Clinic,"Rochester, MN",United States,"Image Guided Focal Therapy for Prostate Cancer: A Review of Patient Selection, Imaging, and Treatment Techniques"
Pelvic (Prostate and Gyn),10,110,Daniel Adamo,Philips,Best,Netherlands,Image Quality Assessment of 0.6T and 1.5T MRI for MRI-Guided Prostate Interventions
Pelvic (Prostate and Gyn),11,68,Ola Mohamed,Mayo Clinic,"Rochester, MN",United States,MR-Guided Cryoablation of Penile Metastasis - A Case Series of Three Patients
Pelvic (Prostate and Gyn),12,38,David Woodrum,Mayo Clinic,"Rochester, MN",United States,MRI-Guided Percutaneous Cryoablation of a Symptomatic Penile Neurofibroma in the Setting of Neurofibromatosis Type 1: A Case Report
RadOnc,13,26,Matthias Philipp Fabritius,LMU University Hospital,Munich,Germany,MR guided catheter-based radiotherapy / brachytherapy of small liver lesions - advantages of a tip marked MRI safe wire to define exact catheter position for radiotherapy planning
RadOnc,14,116,Max Seidensticker,LMU University Hospital,Munich,Germany,Outcome after MR-Guided Ablation of Small Liver Lesions with Catheter-Based Brachytherapy
RadOnc,15,105,Yinsong Ma,Johns Hopkins University,"Baltimore, MD",United States,Real-Time FBG Shape Feedback and Trajectory Prediction for Adaptive MRI-Guided Needle Interventions
RadOnc,16,147,Adrian Breto,University of Miami,"Miami, FL",United States,Integration of Habitat Analysis in Novel Clinical Trial for Characterization of Ultra-early Response to Radiotherapy
Technology,17,82,Chitresh Bhushan,GE Healthcare,"Waukesha, WI",United States,MR-Compatible Ultrasound Tracker for Fast Alignment of US-MR Images
Technology,18,130,Nirvaan N Jaitli,University of Wisconsin-Madison,"Madison, WI",United States,Custom Hardware to Adapt Conventional Flexible MRI Coils for Interventional Applications
Technology,19,61,Qiaozhi Chen,Otto-von-Guericke University,Magdeburg,Germany,Design and Preliminary Evaluation of an MR-Compatible Microwave Applicator Holder with Motion-Adaptive Compliance for Interventional MRI Procedures
Technology,20,149,Isabella Duan,Columbia University,"New York, NY",United States,Dynamic Decoupling of RF Coil Arrays for Interventional MRI
Technology,21,25,Gina Thieße,Otto-von-Guericke University,Magdeburg,Germany,Comparison of Three Real-Time Marker Detection Algorithms for Instrument Tracking of MRI-Guided Robotic Needle Interventions
Technology,22,95,Evangelia Ilia,University of Twente,Enschede,Netherlands,Feasibility of Extended Reality Guidance for MRI-Guided Interventions: A Phantom Evaluation in Cardiac and Prostate Applications
Technology,23,114,Ryo Murakami,Worcester Polytechnic Institute,"Worcester, MA",United States,From Stop-and-Go to Continuous in MRI-Guided Needle Steering: Addressing Delayed and Sparse Feedback
Technology,24,111,Tae Wan Kim,Worcester Polytechnic Institute,"Worcester, MA",United States,Bidirectional Continuous Rotation and Variable Curvature Needle Steering (B-CURV) for MRI-Guided Robotic Prostate Biopsy
Technology,25,145,Dominique Franson,Siemens Medical Solutions,"Malvern, PA",United States,"Framework for Fast, Inline 3D Needle Localization"
Technology,26,144,Sarah Garrow,Case Western Reserve University,"Cleveland, OH",United States,Learning Magnetic Needle Models for Interventional Localization
Technology,27,74,Nadeem Shah,Otto-von-Guericke University,Magdeburg,Germany,Automated Ground-Truth Generation for Markerless Stereo RGB Needle Tracking in MRI-Guided Prostate Biopsy
Technology,28,120,Christopher Favazza,Mayo Clinic,"Rochester, MN",United States,Use of a Robotic-Assisted Percutaneous Ablation Platform for MR-Guided Procedures: Proof of Concept Experiments
Technology,29,98,Julia Chaffin,University of Michigan,"Ann Arbor, MI",United States,Automatic Needle Tracking in 4D Ultrasound for MR-US Fusion-Guided Ablation
