date,start,end,type,number,title,speaker,affiliation,city,country,status,notes
2026-10-08,07:00,08:00,break,,Registration — Breakfast and Visit Exhibits,,,,,,
2026-10-08,08:00,08:15,special,,Welcome — Introduction and Goals,"Clare Tempany, Thomas Kahn, Jonathan Lewin",,,,,
2026-10-08,08:15,08:25,session,,Special Tribute Session,,,,,,
2026-10-08,08:15,08:25,invited_talk,,In Memory of Dr. Harald Busse: Honoring His Contributions to the iMRI Society,,,,,,
2026-10-08,08:25,09:10,session,,Keynote — Ferenc Jolesz Memorial Lecture,,,,,,
2026-10-08,08:25,09:10,keynote,,Autonomous Robotic Surgery (Title TBA),"Axel Krieger PhD, Johns Hopkins University",,"Baltimore, MD",United States,confirmed,
2026-10-08,09:10,10:20,session,,Session I — Body I,"Moderators: Frank Wacker, Mariana Bernardes",,,,,
2026-10-08,09:10,09:25,invited_talk,1,"Invited Talk: A New Era of Body iMRI, Why Now?","Frank Wacker MD, Hannover Medical School",,Hannover,Germany,confirmed,
2026-10-08,09:25,09:40,invited_talk,2,Invited Talk: (Title TBA),"Erica Knavel Koepsel MD, University of Wisconsin",,"Madison, WI",United States,confirmed,
2026-10-08,09:40,09:50,oral,3,Precision Targeting of Small Liver Lesions Using MRI-Guided Freehand Biopsy: Outcomes and Safety,Vanessa F,LMU University Hospital,Munich,Germany,,
2026-10-08,09:50,10:00,oral,4,MRI-Guided Hepatic Interventions Using Augmented Reality Optical Navigation: Initial Clinical Experience with the LUMENA System,David Woodrum,Mayo Clinic,"Rochester, MN",United States,,
2026-10-08,10:00,10:10,oral,5,Toward Personalized Planning of Liver Tumor Microwave Ablation Using Patient-Specific Modeling,Nino Avetikovi,University of Bordeaux,Bordeaux,France,,
2026-10-08,10:10,10:20,oral,6,Assessing the Technical Feasibility of MR-Guided Irreversible Electroporation in a Porcine In Vivo Model in a 1.5T Clinical MR Environment,Othmar Belker,Hannover Medical School,Hannover,Germany,,
2026-10-08,10:20,10:50,break,,Coffee Break and Exhibits,,,,,,
2026-10-08,10:50,11:45,session,,Session II — Body II,"Moderators: Aiming Lu, Erica Knavel Koepsel",,,,,
2026-10-08,10:50,11:05,invited_talk,7,Invited Talk: Proceed with Confidence: Overcoming MR Safety Barriers in MRI-Guided Interventions,"Aiming Lu PhD, Mayo Clinic",,"Rochester, MN",United States,confirmed,
2026-10-08,11:05,11:15,oral,8,Preliminary Experience of MR-Guided Lateral Decubitus Breast Biopsy Using a Flexible Surface Coil,Xin Weng,Xi'an International Medical Center Hospital,Xi'an,China,,
2026-10-08,11:15,11:25,oral,9,Safety and efficacy of MRI-guided cryoablation of renal cancer: a systematic review and meta-analysis,Hans Jonas Meyer,University of Leipzig,Leipzig,Germany,,
2026-10-08,11:25,11:35,oral,10,Initial Evaluation of Interactive Imaging on a High Performance 0.55 T System,Nathan Ooms,Cook Advanced Technology,"Bloomington, IN",United States,,
2026-10-08,11:35,11:45,oral,11,Post-Ablation Margin Assessment using Free-Breathing Liver DCE MRI: An In-Silico Study,Jayant D Sakhardande,University of Iowa,"Iowa City, IA",United States,,
2026-10-08,11:45,13:00,break,,Lunch Break and Exhibits,,,,,,
2026-10-08,13:00,14:30,session,,Session III — Poster Presentations,,,,,,
2026-10-08,13:00,14:30,invited_talk,,Poster Presentations,,,,,,All poster-assigned abstracts are presented in the area adjacent to the main conference room; each presenter is assigned the full 90-minute session.
2026-10-08,14:30,14:55,break,,Coffee Break and Exhibits,,,,,,
2026-10-08,14:55,15:50,session,,Session IV — Technology I,"Moderators: Kevin Cleary, Axel Krieger",,,,,
2026-10-08,14:55,15:10,invited_talk,12,Invited Talk: MRI-Guided Robotics to Enable Interventions,"Kevin Cleary PhD, Children's National Hospital",,"Washington, DC",United States,confirmed,
